step,train_loss,val_loss,lr,sec_per_step
15000,1.26845,1.18020,2.871619e-04,0.078
15100,1.25367,,2.869665e-04,0.078
15200,1.25500,,2.867698e-04,0.078
15300,1.27232,,2.865716e-04,0.078
15400,1.24941,,2.863721e-04,0.078
15500,1.25265,,2.861711e-04,0.078
15600,1.25816,,2.859687e-04,0.078
15700,1.27509,,2.857650e-04,0.078
15800,1.27860,,2.855598e-04,0.078
15900,1.24027,,2.853533e-04,0.079
16000,1.23593,1.16029,2.851453e-04,0.079
16100,1.24159,,2.849360e-04,0.079
16200,1.25307,,2.847253e-04,0.079
16300,1.24977,,2.845132e-04,0.079
16400,1.26894,,2.842997e-04,0.079
16500,1.29029,,2.840848e-04,0.079
16600,1.23330,,2.838686e-04,0.079
16700,1.25996,,2.836510e-04,0.079
16800,1.26706,,2.834320e-04,0.078
16900,1.26920,,2.832116e-04,0.078
17000,1.24691,1.14375,2.829899e-04,0.079
17100,1.24758,,2.827668e-04,0.079
17200,1.25093,,2.825423e-04,0.078
17300,1.26517,,2.823165e-04,0.078
17400,1.24166,,2.820893e-04,0.078
17500,1.25266,,2.818608e-04,0.079
17600,1.21492,,2.816309e-04,0.078
17700,1.26697,,2.813996e-04,0.078
17800,1.23730,,2.811670e-04,0.078
17900,1.20910,,2.809331e-04,0.078
18000,1.23557,1.13328,2.806978e-04,0.078
18100,1.26696,,2.804612e-04,0.078
18200,1.23539,,2.802232e-04,0.078
18300,1.22930,,2.799839e-04,0.078
18400,1.22726,,2.797432e-04,0.078
18500,1.23155,,2.795012e-04,0.078
18600,1.26049,,2.792579e-04,0.078
18700,1.23329,,2.790133e-04,0.078
18800,1.22388,,2.787673e-04,0.078
18900,1.19836,,2.785200e-04,0.078
19000,1.21455,1.11514,2.782714e-04,0.078
19100,1.22557,,2.780215e-04,0.079
19200,1.21708,,2.777702e-04,0.078
19300,1.19054,,2.775177e-04,0.078
19400,1.17203,,2.772638e-04,0.078
19500,1.21789,,2.770086e-04,0.078
19600,1.24367,,2.767521e-04,0.078
19700,1.19519,,2.764944e-04,0.078
19800,1.19815,,2.762353e-04,0.078
19900,1.19088,,2.759749e-04,0.078
20000,1.19103,1.10745,2.757132e-04,0.078
20100,1.21462,,2.754502e-04,0.078
20200,1.21510,,2.751860e-04,0.078
20300,1.20237,,2.749204e-04,0.078
20400,1.21156,,2.746536e-04,0.078
20500,1.18180,,2.743855e-04,0.078
20600,1.17714,,2.741161e-04,0.078
20700,1.23933,,2.738455e-04,0.078
20800,1.20211,,2.735735e-04,0.078
20900,1.24593,,2.733003e-04,0.078
21000,1.20131,1.09472,2.730258e-04,0.078
21100,1.18691,,2.727501e-04,0.078
21200,1.18722,,2.724731e-04,0.078
21300,1.22630,,2.721948e-04,0.078
21400,1.20493,,2.719153e-04,0.078
21500,1.19294,,2.716346e-04,0.078
21600,1.19651,,2.713525e-04,0.078
21700,1.19713,,2.710693e-04,0.078
21800,1.15897,,2.707848e-04,0.078
21900,1.19280,,2.704990e-04,0.078
22000,1.15286,1.08154,2.702120e-04,0.078
22100,1.17497,,2.699238e-04,0.078
22200,1.17237,,2.696344e-04,0.078
22300,1.20243,,2.693437e-04,0.078
22400,1.21504,,2.690518e-04,0.078
22500,1.17158,,2.687586e-04,0.078
22600,1.17286,,2.684643e-04,0.078
22700,1.15941,,2.681687e-04,0.078
22800,1.15139,,2.678719e-04,0.078
22900,1.16164,,2.675739e-04,0.078
23000,1.19900,1.06115,2.672747e-04,0.078
23100,1.17252,,2.669743e-04,0.078
23200,1.15908,,2.666727e-04,0.078
23300,1.18754,,2.663699e-04,0.078
23400,1.13097,,2.660659e-04,0.078
23500,1.16043,,2.657607e-04,0.078
23600,1.16910,,2.654543e-04,0.078
23700,1.14863,,2.651467e-04,0.078
23800,1.14857,,2.648380e-04,0.078
23900,1.17861,,2.645280e-04,0.078
24000,1.17293,1.05687,2.642169e-04,0.078
24100,1.15593,,2.639046e-04,0.078
24200,1.12132,,2.635911e-04,0.078
24300,1.15087,,2.632765e-04,0.078
24400,1.12901,,2.629607e-04,0.078
24500,1.17804,,2.626438e-04,0.078
24600,1.15106,,2.623257e-04,0.078
24700,1.17164,,2.620064e-04,0.078
24800,1.14945,,2.616860e-04,0.078
24900,1.12939,,2.613644e-04,0.078
25000,1.13901,1.05211,2.610417e-04,0.078
25100,1.20120,,2.607178e-04,0.078
25200,1.12086,,2.603929e-04,0.078
25300,1.13213,,2.600667e-04,0.078
25400,1.11615,,2.597395e-04,0.078
25500,1.14255,,2.594111e-04,0.078
25600,1.14833,,2.590816e-04,0.078
25700,1.14728,,2.587510e-04,0.078
25800,1.12128,,2.584192e-04,0.078
25900,1.12065,,2.580864e-04,0.078
26000,1.13089,1.04914,2.577524e-04,0.078
26100,1.13229,,2.574173e-04,0.078
26200,1.14198,,2.570811e-04,0.078
26300,1.15493,,2.567439e-04,0.078
26400,1.14810,,2.564055e-04,0.078
26500,1.13587,,2.560660e-04,0.078
26600,1.13956,,2.557255e-04,0.078
26700,1.14999,,2.553838e-04,0.078
26800,1.14236,,2.550411e-04,0.078
26900,1.11937,,2.546973e-04,0.078
27000,1.09989,1.04242,2.543524e-04,0.078
27100,1.09793,,2.540064e-04,0.078
27200,1.11006,,2.536594e-04,0.078
27300,1.14113,,2.533113e-04,0.078
27400,1.16093,,2.529622e-04,0.078
27500,1.13350,,2.526119e-04,0.078
27600,1.08778,,2.522607e-04,0.078
27700,1.11021,,2.519084e-04,0.078
27800,1.10712,,2.515550e-04,0.078
27900,1.12071,,2.512006e-04,0.078
28000,1.11304,1.02434,2.508451e-04,0.078
28100,1.12702,,2.504886e-04,0.078
28200,1.12573,,2.501311e-04,0.078
28300,1.09805,,2.497726e-04,0.078
28400,1.13323,,2.494130e-04,0.078
28500,1.12169,,2.490524e-04,0.078
28600,1.11514,,2.486908e-04,0.078
28700,1.09166,,2.483282e-04,0.078
28800,1.15526,,2.479645e-04,0.078
28900,1.13653,,2.475999e-04,0.078
29000,1.08967,1.00985,2.472343e-04,0.078
29100,1.09868,,2.468676e-04,0.078
29200,1.11861,,2.465000e-04,0.078
29300,1.11061,,2.461313e-04,0.078
29400,1.10704,,2.457617e-04,0.078
29500,1.10572,,2.453911e-04,0.078
29600,1.12225,,2.450195e-04,0.078
29700,1.09161,,2.446470e-04,0.078
29800,1.10564,,2.442734e-04,0.078
29900,1.10290,,2.438989e-04,0.078
30000,1.07468,1.00101,2.435235e-04,0.078
30100,1.12351,,2.431470e-04,0.078
30200,1.09709,,2.427697e-04,0.078
30300,1.11484,,2.423913e-04,0.078
30400,1.06500,,2.420120e-04,0.078
30500,1.10933,,2.416318e-04,0.078
30600,1.10677,,2.412506e-04,0.078
30700,1.07998,,2.408685e-04,0.078
30800,1.07507,,2.404855e-04,0.078
30900,1.11735,,2.401015e-04,0.078
31000,1.11544,0.99720,2.397166e-04,0.078
31100,1.08821,,2.393308e-04,0.078
31200,1.09523,,2.389440e-04,0.078
31300,1.12207,,2.385564e-04,0.078
31400,1.10058,,2.381678e-04,0.078
31500,1.05261,,2.377783e-04,0.078
31600,1.04580,,2.373879e-04,0.078
31700,1.09151,,2.369967e-04,0.078
31800,1.08391,,2.366045e-04,0.078
31900,1.07481,,2.362114e-04,0.078
32000,1.09312,1.00921,2.358175e-04,0.078
32100,1.07881,,2.354227e-04,0.078
32200,1.10169,,2.350270e-04,0.078
32300,1.09634,,2.346304e-04,0.078
32400,1.09872,,2.342329e-04,0.078
32500,1.09395,,2.338346e-04,0.078
32600,1.08557,,2.334355e-04,0.078
32700,1.08914,,2.330354e-04,0.078
32800,1.09272,,2.326345e-04,0.078
32900,1.09901,,2.322328e-04,0.078
33000,1.08774,0.97629,2.318302e-04,0.078
33100,1.10853,,2.314268e-04,0.078
33200,1.10669,,2.310226e-04,0.078
33300,1.09301,,2.306175e-04,0.078
33400,1.08343,,2.302116e-04,0.078
33500,1.09072,,2.298048e-04,0.078
33600,1.08069,,2.293972e-04,0.078
33700,1.08143,,2.289889e-04,0.078
33800,1.07252,,2.285797e-04,0.078
33900,1.04615,,2.281697e-04,0.078
34000,1.07415,0.97502,2.277589e-04,0.078
34100,1.07460,,2.273473e-04,0.078
