variant,K,token_acc,exact_match,bleu,chrf,semsim
enc_dct,1,0.07927915581745923,0.0,8.524509745487004,30.119930803930608,0.40138861536979675
enc_dct,2,0.09288375048276377,0.0,9.320153112745796,30.32466873044617,0.4046635925769806
enc_dct,4,0.0878131735333325,0.0,8.622574516528756,29.337551824673362,0.3938722610473633
enc_dct,8,0.09373092304433951,0.0,9.282113883344175,29.643629264076203,0.4055822193622589
enc_dct,16,0.13366638842861947,0.0,13.91666848288589,33.118867961212814,0.47284314036369324
enc_dct,32,0.28696724681375907,0.0,34.70176107999819,50.317340698666925,0.666127622127533
enc_dct,64,0.9948671309504529,0.9785,99.76220778268022,99.84112996944775,0.9982765316963196
enc_latent,1,0.04575977674511318,0.0,4.030434539183953,27.283161020145,0.3384321630001068
enc_latent,2,0.03941221174330671,0.0,3.246653737087453,26.164034470108277,0.32407906651496887
enc_latent,4,0.03895125020244933,0.0,3.6896494445367436,26.426765449796612,0.3248823285102844
enc_latent,8,0.046245655126016916,0.0,4.599846016212458,27.29467310364407,0.34348365664482117
enc_latent,16,0.0369579029987417,0.0,3.742839063696714,27.153816670527362,0.3371596932411194
enc_latent,32,0.19729153948696226,0.0075,40.36875436157138,57.24864065044544,0.6929420232772827
enc_latent,64,0.9946740254400936,0.9875,99.82195889226968,99.88081786541525,0.9985653162002563
emb_dct,1,0.015585483448989,0.0,7.1363135818894285,32.41413229618458,0.46602964401245117
emb_dct,2,0.018531899784469334,0.0,5.609465572674141,30.683190339387885,0.416128933429718
emb_dct,4,0.018519441364446162,0.0,3.9821897798800965,29.10973105847982,0.3800751268863678
emb_dct,8,0.018868277125094996,0.0,3.4457042462400826,28.88422460213947,0.3635876774787903
emb_dct,16,0.029457934144791757,0.0,4.943805892898938,30.8732103812763,0.40321555733680725
emb_dct,32,0.1260044601143683,0.0,24.171941992062074,46.040411669936866,0.6254581212997437
emb_dct,64,0.9896034484906624,0.9515,99.48155193829457,99.65161510056345,0.9972203969955444
