step,train_loss,val_loss,lr,sec_per_step
100,8.92669,,1.500000e-05,0.092
200,8.04491,,3.000000e-05,0.089
300,7.27332,,4.500000e-05,0.082
400,6.80673,,6.000000e-05,0.083
500,6.49900,,7.500000e-05,0.084
600,6.25602,,9.000000e-05,0.084
700,6.05104,,1.050000e-04,0.082
800,5.89631,,1.200000e-04,0.083
900,5.76947,,1.350000e-04,0.083
1000,5.66205,5.51895,1.500000e-04,0.084
1100,5.54402,,1.650000e-04,0.082
1200,5.44443,,1.800000e-04,0.083
1300,5.32801,,1.950000e-04,0.083
1400,5.23119,,2.100000e-04,0.083
1500,5.13807,,2.250000e-04,0.082
1600,5.02535,,2.400000e-04,0.083
1700,4.92792,,2.550000e-04,0.083
1800,4.84999,,2.700000e-04,0.082
1900,4.74565,,2.850000e-04,0.082
2000,4.64312,4.52030,3.000000e-04,0.083
2100,4.55398,,2.999992e-04,0.083
2200,4.44355,,2.999969e-04,0.082
2300,4.34033,,2.999931e-04,0.082
2400,4.25038,,2.999877e-04,0.082
2500,4.14995,,2.999807e-04,0.083
2600,4.02113,,2.999723e-04,0.082
2700,3.94401,,2.999622e-04,0.082
2800,3.80811,,2.999507e-04,0.083
2900,3.72728,,2.999376e-04,0.082
3000,3.60074,3.45072,2.999229e-04,0.082
3100,3.49784,,2.999067e-04,0.083
3200,3.40034,,2.998890e-04,0.083
3300,3.30731,,2.998698e-04,0.082
3400,3.21716,,2.998490e-04,0.082
3500,3.12258,,2.998266e-04,0.083
3600,2.99674,,2.998027e-04,0.083
3700,2.93143,,2.997773e-04,0.082
3800,2.81921,,2.997503e-04,0.082
3900,2.73974,,2.997218e-04,0.083
4000,2.62571,2.46397,2.996918e-04,0.082
4100,2.59468,,2.996602e-04,0.082
4200,2.49093,,2.996271e-04,0.082
4300,2.41349,,2.995925e-04,0.082
4400,2.33799,,2.995563e-04,0.082
4500,2.32621,,2.995185e-04,0.081
4600,2.27597,,2.994793e-04,0.081
4700,2.17509,,2.994385e-04,0.081
4800,2.13876,,2.993961e-04,0.081
4900,2.06778,,2.993523e-04,0.081
5000,2.06557,1.92462,2.993069e-04,0.081
5100,1.98167,,2.992599e-04,0.080
5200,1.98988,,2.992115e-04,0.080
5300,1.97018,,2.991614e-04,0.080
5400,1.91330,,2.991099e-04,0.080
5500,1.90542,,2.990568e-04,0.080
5600,1.86723,,2.990022e-04,0.080
5700,1.84062,,2.989461e-04,0.080
5800,1.81424,,2.988884e-04,0.080
5900,1.80466,,2.988292e-04,0.080
6000,1.77594,1.65771,2.987685e-04,0.080
6100,1.77631,,2.987062e-04,0.079
6200,1.74045,,2.986425e-04,0.079
6300,1.75929,,2.985772e-04,0.079
6400,1.72746,,2.985103e-04,0.079
6500,1.68540,,2.984420e-04,0.079
6600,1.68704,,2.983721e-04,0.079
6700,1.67664,,2.983006e-04,0.079
6800,1.64925,,2.982277e-04,0.079
6900,1.65451,,2.981533e-04,0.079
7000,1.62565,1.51843,2.980773e-04,0.079
7100,1.61269,,2.979998e-04,0.079
7200,1.59629,,2.979207e-04,0.079
7300,1.60717,,2.978402e-04,0.079
7400,1.60586,,2.977581e-04,0.078
7500,1.62479,,2.976745e-04,0.078
7600,1.60060,,2.975894e-04,0.078
7700,1.57914,,2.975028e-04,0.078
7800,1.58777,,2.974147e-04,0.078
7900,1.58809,,2.973250e-04,0.078
8000,1.56363,1.44146,2.972339e-04,0.078
8100,1.52955,,2.971412e-04,0.078
8200,1.54074,,2.970470e-04,0.078
8300,1.54431,,2.969513e-04,0.078
8400,1.52075,,2.968541e-04,0.078
8500,1.49961,,2.967554e-04,0.078
8600,1.48791,,2.966552e-04,0.078
8700,1.51581,,2.965534e-04,0.078
8800,1.52275,,2.964502e-04,0.078
8900,1.47748,,2.963454e-04,0.078
9000,1.48690,1.36684,2.962392e-04,0.078
9100,1.47600,,2.961314e-04,0.078
9200,1.47201,,2.960222e-04,0.078
9300,1.46193,,2.959114e-04,0.078
9400,1.46919,,2.957992e-04,0.078
9500,1.44660,,2.956854e-04,0.078
9600,1.43505,,2.955702e-04,0.078
9700,1.42861,,2.954534e-04,0.078
9800,1.44468,,2.953352e-04,0.078
9900,1.43002,,2.952155e-04,0.078
10000,1.41109,1.31065,2.950942e-04,0.078
10100,1.44452,,2.949715e-04,0.078
10200,1.44083,,2.948473e-04,0.078
10300,1.43490,,2.947216e-04,0.078
10400,1.41871,,2.945944e-04,0.078
10500,1.40343,,2.944658e-04,0.078
10600,1.41742,,2.943356e-04,0.077
10700,1.37610,,2.942040e-04,0.077
10800,1.42201,,2.940709e-04,0.077
10900,1.38408,,2.939363e-04,0.078
11000,1.40849,1.28828,2.938002e-04,0.077
11100,1.39754,,2.936626e-04,0.077
11200,1.39901,,2.935236e-04,0.078
11300,1.37183,,2.933831e-04,0.078
11400,1.37585,,2.932411e-04,0.077
11500,1.38351,,2.930977e-04,0.077
11600,1.35449,,2.929527e-04,0.078
11700,1.37901,,2.928063e-04,0.078
11800,1.34156,,2.926585e-04,0.077
11900,1.34741,,2.925092e-04,0.078
12000,1.39082,1.26059,2.923584e-04,0.078
12100,1.36178,,2.922061e-04,0.078
12200,1.37800,,2.920524e-04,0.078
12300,1.34385,,2.918972e-04,0.078
12400,1.33704,,2.917406e-04,0.078
12500,1.33717,,2.915825e-04,0.078
12600,1.32535,,2.914230e-04,0.078
12700,1.33471,,2.912620e-04,0.078
12800,1.37390,,2.910995e-04,0.078
12900,1.30751,,2.909356e-04,0.078
13000,1.34225,1.21927,2.907703e-04,0.078
13100,1.32722,,2.906035e-04,0.078
13200,1.33861,,2.904352e-04,0.078
13300,1.33069,,2.902655e-04,0.078
13400,1.31547,,2.900944e-04,0.078
13500,1.31020,,2.899219e-04,0.078
13600,1.29792,,2.897479e-04,0.078
13700,1.31526,,2.895724e-04,0.078
13800,1.33349,,2.893956e-04,0.078
13900,1.31570,,2.892172e-04,0.078
14000,1.29908,1.21978,2.890375e-04,0.078
14100,1.35042,,2.888564e-04,0.078
