step,train_loss,val_loss,lr,sec_per_step
100,8.92689,,1.500000e-05,0.097
200,8.03990,,3.000000e-05,0.093
300,7.27156,,4.500000e-05,0.085
400,6.82504,,6.000000e-05,0.086
500,6.53342,,7.500000e-05,0.086
600,6.30146,,9.000000e-05,0.083
700,6.10369,,1.050000e-04,0.084
800,5.95883,,1.200000e-04,0.085
900,5.83636,,1.350000e-04,0.085
1000,5.72368,5.58016,1.500000e-04,0.084
1100,5.59790,,1.650000e-04,0.084
1200,5.47559,,1.800000e-04,0.085
1300,5.31500,,1.950000e-04,0.085
1400,5.15470,,2.100000e-04,0.084
1500,5.02031,,2.250000e-04,0.084
1600,4.86003,,2.400000e-04,0.085
1700,4.71134,,2.550000e-04,0.084
1800,4.65507,,2.700000e-04,0.084
1900,4.53570,,2.850000e-04,0.084
2000,4.42172,4.30485,3.000000e-04,0.085
2100,4.36486,,2.999992e-04,0.084
2200,4.28573,,2.999969e-04,0.083
2300,4.25153,,2.999931e-04,0.083
2400,4.18368,,2.999877e-04,0.083
2500,4.15256,,2.999807e-04,0.082
2600,4.08195,,2.999723e-04,0.082
2700,4.07682,,2.999622e-04,0.082
2800,3.99067,,2.999507e-04,0.082
2900,4.00808,,2.999376e-04,0.081
3000,3.93230,3.80747,2.999229e-04,0.081
3100,3.92039,,2.999067e-04,0.081
3200,3.89541,,2.998890e-04,0.081
3300,3.89970,,2.998698e-04,0.080
3400,3.87351,,2.998490e-04,0.080
3500,3.83759,,2.998266e-04,0.080
3600,3.79067,,2.998027e-04,0.080
3700,3.81232,,2.997773e-04,0.080
3800,3.78331,,2.997503e-04,0.080
3900,3.76304,,2.997218e-04,0.080
4000,3.74142,3.61541,2.996918e-04,0.080
4100,3.73664,,2.996602e-04,0.079
4200,3.70938,,2.996271e-04,0.079
4300,3.68769,,2.995925e-04,0.079
4400,3.67015,,2.995563e-04,0.079
4500,3.67973,,2.995185e-04,0.079
4600,3.67322,,2.994793e-04,0.079
4700,3.64087,,2.994385e-04,0.079
4800,3.63308,,2.993961e-04,0.079
4900,3.59746,,2.993523e-04,0.079
5000,3.61374,3.46934,2.993069e-04,0.078
5100,3.58034,,2.992599e-04,0.078
5200,3.61641,,2.992115e-04,0.078
5300,3.59412,,2.991614e-04,0.078
5400,3.57079,,2.991099e-04,0.078
5500,3.57924,,2.990568e-04,0.078
5600,3.54425,,2.990022e-04,0.078
5700,3.54917,,2.989461e-04,0.078
5800,3.53955,,2.988884e-04,0.078
5900,3.53442,,2.988292e-04,0.078
6000,3.50670,3.39415,2.987685e-04,0.078
6100,3.52468,,2.987062e-04,0.078
6200,3.50196,,2.986425e-04,0.077
6300,3.51826,,2.985772e-04,0.077
6400,3.51890,,2.985103e-04,0.078
6500,3.47380,,2.984420e-04,0.078
6600,3.47863,,2.983721e-04,0.077
6700,3.47426,,2.983006e-04,0.077
6800,3.45378,,2.982277e-04,0.077
6900,3.45837,,2.981533e-04,0.077
7000,3.44064,3.32568,2.980773e-04,0.077
7100,3.44954,,2.979998e-04,0.078
7200,3.42866,,2.979207e-04,0.078
7300,3.44733,,2.978402e-04,0.078
7400,3.42070,,2.977581e-04,0.078
7500,3.43873,,2.976745e-04,0.078
7600,3.43630,,2.975894e-04,0.078
7700,3.41862,,2.975028e-04,0.078
7800,3.41980,,2.974147e-04,0.078
7900,3.41197,,2.973250e-04,0.078
8000,3.40293,3.27766,2.972339e-04,0.078
8100,3.37620,,2.971412e-04,0.078
8200,3.38877,,2.970470e-04,0.078
8300,3.39633,,2.969513e-04,0.078
8400,3.38756,,2.968541e-04,0.078
8500,3.36896,,2.967554e-04,0.078
8600,3.35038,,2.966552e-04,0.078
8700,3.38238,,2.965534e-04,0.079
8800,3.37373,,2.964502e-04,0.078
8900,3.34407,,2.963454e-04,0.079
9000,3.36461,3.25957,2.962392e-04,0.079
9100,3.35342,,2.961314e-04,0.079
9200,3.36396,,2.960222e-04,0.079
9300,3.34878,,2.959114e-04,0.079
9400,3.35784,,2.957992e-04,0.079
9500,3.34126,,2.956854e-04,0.079
9600,3.33374,,2.955702e-04,0.079
9700,3.33031,,2.954534e-04,0.079
9800,3.33589,,2.953352e-04,0.079
9900,3.31676,,2.952155e-04,0.079
10000,3.32080,3.20791,2.950942e-04,0.079
10100,3.34566,,2.949715e-04,0.079
10200,3.33243,,2.948473e-04,0.079
10300,3.32723,,2.947216e-04,0.079
10400,3.30241,,2.945944e-04,0.079
10500,3.29224,,2.944658e-04,0.079
10600,3.31829,,2.943356e-04,0.079
10700,3.28454,,2.942040e-04,0.079
10800,3.31208,,2.940709e-04,0.079
10900,3.28472,,2.939363e-04,0.080
11000,3.28666,3.18554,2.938002e-04,0.080
11100,3.28284,,2.936626e-04,0.080
11200,3.29670,,2.935236e-04,0.080
11300,3.28209,,2.933831e-04,0.080
11400,3.28776,,2.932411e-04,0.080
11500,3.27916,,2.930977e-04,0.080
11600,3.26078,,2.929527e-04,0.080
11700,3.26690,,2.928063e-04,0.080
11800,3.27444,,2.926585e-04,0.080
11900,3.27262,,2.925092e-04,0.080
