K,method,token_acc,semsim,fluency_ppl
1,greedy,0.08982301823925809,0.3919369578361511,831.6597629997948
1,cycle-rerank,0.0880625193749438,0.40030550956726074,1573.9235356345869
1,oracle-sem,0.08871942807672895,0.47418349981307983,2074.6073819456715
4,greedy,0.10211509111832129,0.3922553062438965,1129.9014575831952
4,cycle-rerank,0.1017678767311736,0.3981761634349823,2265.583921435088
4,oracle-sem,0.10066838647253462,0.47087961435317993,2885.077113729736
16,greedy,0.1470144658596837,0.4623655676841736,1192.933560038489
16,cycle-rerank,0.15091357200435596,0.4694628119468689,2041.6691344833673
16,oracle-sem,0.14379957276105415,0.5291365385055542,2408.7916670926325
